idveiculo,dia,mes,diadasemana,hora,Velocidade,Longitude,Latitude,Eventos
26,26,5,4,0.35934027778,25,-44.2179985,-2.582760096,3
27,27,4,3,0.19101851852,20,-44.2179985,-2.600490093,3
28,6,5,5,0.92438657407,38,-44.2179985,-2.600199938,3
30,23,4,6,0.75439814815,34,-44.2179985,-2.600300074,3
30,13,5,5,0.25505787037,19,-44.2179985,-2.600579977,3
30,26,5,4,0.63268518519,22,-44.2179985,-2.600539923,3
46,7,5,6,0.21222222222,24,-44.2179985,-2.600579977,3
46,16,5,1,0.25430555556,33,-44.2179985,-2.573519945,3
47,4,5,3,0.19348379630,29,-44.2179985,-2.599920034,3
47,22,5,7,0.20160879630,53,-44.2179985,-2.552939892,3
54,27,4,3,0.25319444444,15,-44.2179985,-2.601099968,3
54,25,5,3,0.25160879630,21,-44.2179985,-2.600330114,3
63,19,4,2,0.22740740741,20,-44.2179985,-2.600529909,3
64,21,5,6,0.23120370370,31,-44.2179985,-2.525180101,3
65,29,3,2,0.21706018519,29,-44.2179985,-2.600320101,3
66,16,4,6,0.22173611111,17,-44.2179985,-2.601069927,3
66,5,5,4,0.22050925926,18,-44.2179985,-2.600549936,3
68,9,4,6,0.26067129630,29,-44.2179985,-2.600209951,3
70,17,5,2,0.61187500000,48,-44.2179985,-2.582789898,3
79,2,5,1,0.89981481481,21,-44.2179985,-2.599960089,3
80,26,5,4,0.60196759259,38,-44.2179985,-2.600150108,3
83,17,5,2,0.42222222222,37,-44.2179985,-2.600250006,3
89,4,5,3,0.21047453704,27,-44.2179985,-2.600450039,3
102,20,5,5,0.24239583333,24,-44.2179985,-2.600519896,3
103,10,5,2,0.25902777778,29,-44.2179985,-2.600450039,3
107,13,5,5,0.26439814815,28,-44.2179985,-2.600409985,3
107,17,5,2,0.26811342593,25,-44.2179985,-2.600519896,3
166,19,4,2,0.71225694444,22,-44.2179985,-2.600470066,3
171,17,5,2,0.28462962963,23,-44.2179985,-2.569400072,3
186,31,5,2,0.20200231481,20,-44.2179985,-2.600680113,3
197,21,5,6,0.36062500000,42,-44.2179985,-2.600049973,3
199,23,3,3,0.40879629630,36,-44.2179985,-2.600120068,3
199,1,5,7,0.18486111111,23,-44.2179985,-2.600310087,3
